n° de ligne,nature,n°/id,"forme ""diplo""",forme modernisée,forme corrigée,lemme,pos,à scinder,à fusionner avec w n°,à corriger,corrigé
1640,w,1640,,plès,,PLAID,Nc,,,,
1641,w,1641,,ou,,OU,Cc,,,,
1642,w,1642,,assises,,ASSISE,Nc,,,,
1643,w,1643,,il,,IL,Pp,,,,
1644,w,1644,,en,,EN,Pp,,,,
1645,w,1645,,faiche,,FAIRE,Vvc,,,,
1646,w,1646,,son,,SON,Ds,,,,
1647,w,1647,,devoir,,DEVOIR,Vvn,,,,
1648,w,1648,,.,,.,Fs,,,,
1649,w,1649,,Item,,ITEM,Rg,,,,
1650,w,1650,,",",,",",Fw,,,,
1651,w,1651,,s,,SE,Pp,,,,
1652,w,1652,,',,',Fw,,,,
1653,w,1653,,ils,,ILS,Pp,,,,
1654,w,1654,,demeurent,,DEMEURER,Vvc,,,,
1655,w,1655,,de,,DE,S,,,,
1656,w,1656,,leurs,,LEUR,Ds,,,,
1657,w,1657,,raisons,,RAISON,Nc,,,,
1658,w,1658,,proposés,,PROPOSER,Ge,,,,
1659,w,1659,,et,,ET,Cc,,,,
1660,w,1660,,respondus,,RÉPONDRE,Ge,,,,
1661,w,1661,,en,,EN,S,,,,
1662,w,1662,,jugement,,JUGEMENT,Nc,,,,
1663,w,1663,,",",,",",Fw,,,,
1664,w,1664,,apres,,APRÈS,S,,,,
1665,w,1665,,le,,LE,Da,,,,
1666,w,1666,,jugement,,JUGEMENT,Nc,,,,
1667,w,1667,,plaidé,,PLAIDER,Ge,,,,
1668,w,1668,,",",,",",Fw,,,,
1669,w,1669,,il,,IL,Pp,,,,
1670,w,1670,,doit,,DEVOIR,Vvc,,,,
1671,w,1671,,les,,LE,Da,,,,
1672,w,1672,,parties,,PARTIE,Nc,,,,
1673,w,1673,,et,,ET,Cc,,,,
1674,w,1674,,les,,LE,Da,,,,
1675,w,1675,,conseux,,CONSEIL,Nc,,,,
1676,w,1676,,faire,,FAIRE,Vvn,,,,
1677,w,1677,,tirer,,TIRER,Vvn,,,,
1678,w,1678,,arriere,,ARRIÈRE,Rg,,,,
1679,w,1679,,et,,ET,Cc,,,,
1680,w,1680,,",",,",",Fw,,,,
1681,w,1681,,iceulx,,ICELUI,Pd,,,,
1682,w,1682,,tirés,,TIRER,Ge,,,,
1683,w,1683,,arrière,,ARRIÈRE,Rg,,,,
1684,w,1684,,",",,",",Fw,,,,
1685,w,1685,,aux,,À+LE,S+Da,,,,
1686,w,1686,,assistens,,ASSISTANT,Nc,,,,
1687,w,1687,,demourans,,DEMEURER,Ga,,,,
1688,w,1688,,en,,EN,S,,,,
1689,w,1689,,jugement,,JUGEMENT,Nc,,,,
1690,w,1690,,il,,IL,Pp,,,,
1691,w,1691,,doit,,DEVOIR,Vvc,,,,
1692,w,1692,,demander,,DEMANDER,Vvn,,,,
1693,w,1693,,dudit,,DE+LEDIT,S+Dd,,,,
1694,w,1694,,jugement,,JUGEMENT,Nc,,,,
1695,w,1695,,a,,AVOIR,Vuc,,,,
1696,w,1696,,chacun,,CHACUN,Pi,,,,
1697,w,1697,,son,,SON,Ds,,,,
1698,w,1698,,advis,,AVIS,Nc,,,,
1699,w,1699,,",",,",",Fw,,,,
1700,w,1700,,pourveu,,POURVOIR,Ge,,,,
1701,w,1701,,qu,,QUE,Cs,,,,
1702,w,1702,,',,',Fw,,,,
1703,w,1703,,il,,IL,Pp,,,,
1704,w,1704,,y,,Y,Pp,,,,
1705,w,1705,,ait,,AVOIR,Vuc,,,,
1706,w,1706,,gens,,GENS,Nc,,,,
1707,w,1707,,par,,PAR,S,,,,
1708,w,1708,,qui,,QUI,Pr,,,,
1709,w,1709,,icellui,,ICELUI,Dd,,,,
1710,w,1710,,jugement,,JUGEMENT,Nc,,,,
1711,w,1711,,pronptement,,PROMPTEMENT,Rg,,,,
1712,w,1712,,puisse,,POUVOIR,Vvc,,,,
1713,w,1713,,estre,,ÊTRE,Vun,,,,
1714,w,1714,,jugié,,JUGER,Vvc,,,,
1715,w,1715,,.,,.,Fs,,,,
1716,w,1716,,Synon,,SINON,Cs,,,,
1717,w,1717,,il,,IL,Pp,,,,
1718,w,1718,,doit,,DEVOIR,Vvc,,,,
